hour,calls,answered,contact_rate
0,3624,731,0.20171081677704195
1,3595,740,0.20584144645340752
2,3678,695,0.18896139206090268
3,3560,691,0.19410112359550563
4,3593,738,0.20539938769830227
5,3778,736,0.19481206987824246
6,3544,671,0.18933408577878102
7,3664,712,0.1943231441048035
8,3702,726,0.19611021069692058
9,3482,702,0.2016082711085583
10,3611,713,0.19745222929936307
11,3654,701,0.19184455391351943
12,3617,730,0.2018247166159801
13,3718,751,0.20199031737493275
14,3558,743,0.20882518268690275
15,3560,714,0.200561797752809
16,3631,706,0.19443679427155053
17,3580,700,0.19553072625698323
18,3590,676,0.1883008356545961
19,3637,719,0.19769040417926864
20,3583,730,0.20373988277979346
21,3586,766,0.21360847741215838
22,3606,738,0.20465890183028287
23,3638,721,0.1981858163826278
