priority,exposure,recovery,account_months,recovery_rate
1,1265338145.41,24547276.3,3628,0.01939977577459825
8,1465883779.14,27929325.11,4164,0.01905289185093888
6,1355369231.63,25059718.68,3894,0.018489219096306745
5,1312959609.59,23357086.33,3789,0.01778964574340086
10,1495133036.8,26355500.0,4260,0.017627528354539
4,1283924388.83,22089363.86,3666,0.01720456753697883
9,1480539042.99,24732644.66,4246,0.016705162067223545
7,1473274268.95,24523901.55,4145,0.0166458493621002
2,1285751152.54,21359741.35,3640,0.016612655806532903
3,1305760413.54,21645113.15,3712,0.016576634523111873
